delta,Method,TP,FP,FN,Pwr,Precis,AuPR,MCC,F1,time
0.025,DMRcate,32 (4.34),0 (0.45),468 (4.34),0.06 (0.01),0.99 (0.01),0.25 (0.01),0.23 (0.02),0.12 (0.02),21 (0.24)
0.025,ProbeLasso,0 (0),0 (0),500 (0),0 (0),NaN (NA),NaN (NA),NaN (NA),NaN (NA),7 (0.42)
0.025,Bumphunter,144 (7.87),69 (3.27),356 (7.87),0.29 (0.02),0.63 (0.02),0.36 (0.02),0.38 (0.02),0.44 (0.02),157 (4.42)
0.025,Comb-p,198 (8.11),12 (2.86),302 (8.11),0.4 (0.02),0.95 (0.02),0.55 (0.01),0.57 (0.02),0.55 (0.02),55 (0.58)
0.05,DMRcate,178 (9.63),3 (1.22),322 (9.63),0.36 (0.02),0.98 (0.01),0.52 (0.02),0.55 (0.02),0.52 (0.02),20 (0.43)
0.05,ProbeLasso,212 (10.92),21 (5.03),288 (10.92),0.42 (0.02),0.93 (0.01),0.57 (0.02),0.58 (0.02),0.57 (0.02),17 (0.83)
0.05,Bumphunter,248 (10.92),68 (3.36),252 (10.92),0.5 (0.02),0.75 (0.02),0.56 (0.02),0.58 (0.02),0.63 (0.02),160 (3.88)
0.05,Comb-p,352 (10.55),13 (3.58),148 (10.55),0.7 (0.02),0.97 (0.01),0.78 (0.02),0.8 (0.02),0.81 (0.02),56 (0.37)
0.1,DMRcate,326 (9.29),8 (3.35),174 (9.29),0.65 (0.02),0.98 (0.01),0.75 (0.01),0.77 (0.01),0.78 (0.01),21 (1.69)
0.1,ProbeLasso,362 (7.02),36 (7.36),138 (7.02),0.72 (0.01),0.93 (0.01),0.79 (0.01),0.79 (0.01),0.81 (0.01),18 (0.16)
0.1,Bumphunter,280 (11.73),66 (2.88),220 (11.73),0.56 (0.02),0.79 (0.02),0.64 (0.02),0.65 (0.02),0.7 (0.02),163 (6.92)
0.1,Comb-p,448 (3.11),16 (4.36),52 (3.11),0.9 (0.01),0.97 (0.01),0.91 (0.01),0.92 (0.01),0.93 (0),57 (0.53)
0.15,DMRcate,376 (6.69),10 (3.03),124 (6.69),0.75 (0.01),0.98 (0.01),0.82 (0.01),0.83 (0.01),0.85 (0.01),20 (0.47)
0.15,ProbeLasso,406 (7.6),40 (8.53),94 (7.6),0.81 (0.02),0.93 (0.01),0.85 (0.01),0.84 (0.01),0.86 (0.01),18 (0.09)
0.15,Bumphunter,281 (11.95),63 (2.86),219 (11.95),0.56 (0.02),0.8 (0.02),0.66 (0.02),0.65 (0.02),0.7 (0.02),160 (10.11)
0.15,Comb-p,465 (4.16),17 (4.6),35 (4.16),0.93 (0.01),0.97 (0.01),0.93 (0.01),0.94 (0.01),0.95 (0.01),57 (0.47)
0.2,DMRcate,385 (5.79),10 (2.86),115 (5.79),0.77 (0.01),0.97 (0.01),0.83 (0.01),0.84 (0.01),0.86 (0.01),20 (1.43)
0.2,ProbeLasso,415 (9.31),41 (7.45),85 (9.31),0.83 (0.02),0.93 (0.01),0.86 (0.02),0.85 (0.01),0.87 (0.01),19 (1.92)
0.2,Bumphunter,280 (11.78),62 (3.16),220 (11.78),0.56 (0.02),0.81 (0.02),0.67 (0.02),0.66 (0.02),0.71 (0.02),157 (6.39)
0.2,Comb-p,471 (4.06),18 (5.13),29 (4.06),0.94 (0.01),0.97 (0.01),0.94 (0),0.94 (0),0.95 (0),57 (0.47)
0.3,DMRcate,398 (1.79),10 (2.59),102 (1.79),0.8 (0),0.98 (0.01),0.85 (0),0.86 (0),0.88 (0),21 (1.2)
0.3,ProbeLasso,425 (8.56),42 (7.48),75 (8.56),0.85 (0.02),0.93 (0.01),0.87 (0.01),0.87 (0.01),0.89 (0.01),18 (0.06)
0.3,Bumphunter,280 (11.78),57 (5.15),220 (11.78),0.56 (0.02),0.82 (0.02),0.68 (0.02),0.67 (0.02),0.71 (0.02),155 (9.56)
0.3,Comb-p,476 (2.61),19 (4.67),24 (2.61),0.95 (0.01),0.96 (0.01),0.95 (0.01),0.95 (0),0.96 (0),56 (0.36)
0.4,DMRcate,401 (2.86),10 (4.44),99 (2.86),0.8 (0.01),0.98 (0.01),0.85 (0.01),0.87 (0.01),0.88 (0.01),20 (0.95)
0.4,ProbeLasso,427 (8.04),42 (7.48),73 (8.04),0.85 (0.02),0.93 (0.01),0.88 (0.01),0.87 (0.01),0.89 (0.01),19 (0.22)
0.4,Bumphunter,280 (11.83),52 (6.15),220 (11.83),0.56 (0.02),0.84 (0.03),0.68 (0.02),0.68 (0.03),0.72 (0.02),156 (12.24)
0.4,Comb-p,478 (2.7),19 (4.32),22 (2.7),0.96 (0.01),0.96 (0.01),0.95 (0.01),0.95 (0),0.96 (0),57 (0.77)
