Method,Parameter,Correlation,pValue
DMRcate,lambda,-0.18892653672914295,1.7883378908933847e-8
DMRcate,C,0.2586212214722511,7.739107553850381e-15
ProbeLasso,adjPval,0.06948834819765147,0.002713263112364795
ProbeLasso,mLassoRad,0.6148737935285392,7.314596623666215e-194
ProbeLasso,minDmrSep,0.006859731197179535,0.7674980386648714
Bumphunter,cutoffQ,-0.24580807995196124,1.1530278833015276e-8
Bumphunter,maxGap,-0.17581258408290754,5.113852688513568e-5
Comb-p,combSeed,0.04509902342414506,0.23372137228269604
Comb-p,combDist,0.4510015262716823,2.543216858050363e-36
